Schema Name,Table Name,Table Description,Row Count,Column Name,Data Type,Nullability,Default Value,Column Comments,Constraint Type,Constraint Name,Constraint Columns,Constraint Definition,FK Source Table,FK Source Column(s),FK Target Table,FK Target Column(s),FK Update Rule,FK Delete Rule,Index Name,Index Columns,Index Type,Is Unique Index,Data Integrity Rules,Additional Notes
dbo,RolePermissionGroup,,,,,,,,,,,,,,,,,,,,,,,,
dbo,RolePermissionGroup,,,RolePermissionGroupId,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RolePermissionGroup,,,RolePermissionGroupId,uniqueidentifier,No,,,PK,,RolePermissionGroupId,PRIMARY KEY CLUSTERED ([RolePermissionGroupId] ASC),,,,,,,PRIMARY,RolePermissionGroupId ASC,BTREE,Yes,Primary key constraint,
dbo,RolePermissionGroup,,,RoleId,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RolePermissionGroup,,,PermissionGroupId,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RolePermissionGroup,,,IsActive,bit,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RolePermissionGroup,,,CreatedBy,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RolePermissionGroup,,,CreatedDate,datetime2(7),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RolePermissionGroup,,,UpdatedBy,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,RolePermissionGroup,,,UpdatedDate,datetime2(7),Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,RoleScope,,,,,,,,,,,,,,,,,,,,,,,,
dbo,RoleScope,,,RoleScopeId,int,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RoleScope,,,RoleScopeId,int,No,,,PK,,RoleScopeId,PRIMARY KEY CLUSTERED ([RoleScopeId] ASC),,,,,,,PRIMARY,RoleScopeId ASC,BTREE,Yes,Primary key constraint,
dbo,RoleScope,,,Name,nvarchar(50),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RoleScope,,,Description,nvarchar(100),Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,RoleScope,,,DetailedDescription,nvarchar(255),Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,RoleScope,,,IsActive,bit,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,RoleScope,,,CreatedBy,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RoleScope,,,CreatedDate,datetime,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,RoleScope,,,ModifiedBy,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,RoleScope,,,ModifiedDate,datetime,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,RoleType,,,,,,,,,,,,,,,,,,,,,,,,
dbo,RoleType,,,RoleTypeId,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RoleType,,,RoleTypeId,uniqueidentifier,No,,,PK,,RoleTypeId,PRIMARY KEY CLUSTERED ([RoleTypeId] ASC),,,,,,,PRIMARY,RoleTypeId ASC,BTREE,Yes,Primary key constraint,
dbo,RoleType,,,TypeCode,nvarchar(50),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RoleType,,,TypeCode,nvarchar(50),No,,,UK,,TypeCode,UNIQUE NONCLUSTERED ([TypeCode] ASC),,,,,,,UNIQUE,TypeCode ASC,BTREE,Yes,Unique constraint,
dbo,RoleType,,,TypeValue,nvarchar(50),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RoleType,,,IsActive,bit,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RoleType,,,CreatedBy,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RoleType,,,CreatedDate,datetime2(7),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RoleType,,,UpdatedBy,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,RoleType,,,UpdatedDate,datetime2(7),Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,RuleSet,,,,,,,,,,,,,,,,,,,,,,,,
dbo,RuleSet,,,RuleSetId,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RuleSet,,,RuleSetId,uniqueidentifier,No,,,PK,PK_RuleSet,RuleSetId,CONSTRAINT [PK_RuleSet] PRIMARY KEY CLUSTERED ([RuleSetId] ASC),,,,,,,PK_RuleSet,RuleSetId ASC,BTREE,Yes,Primary key constraint,
dbo,RuleSet,,,ApprovalRuleId,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RuleSet,,,SetName,nvarchar(100),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RuleSet,,,SetDescription,nvarchar(255),Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,RuleSet,,,SetOrder,int,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RuleSet,,,IsActive,bit,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RuleSet,,,CreatedBy,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RuleSet,,,CreatedDate,datetime2(7),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
