Schema Name,Table Name,Table Description,Row Count,Column Name,Data Type,Nullability,Default Value,Column Comments,Constraint Type,Constraint Name,Constraint Columns,Constraint Definition,FK Source Table,FK Source Column(s),FK Target Table,FK Target Column(s),FK Update Rule,FK Delete Rule,Index Name,Index Columns,Index Type,Is Unique Index,Data Integrity Rules,Additional Notes
dbo,ChartOfAccounts,,,,,,,,,,,,,,,,,,IX_ChartOfAccounts_IsActive,IsActive ASC,NONCLUSTERED,No,"NOT NULL constraint inferred from index usage","Index includes AccountNumber and AccountShortName columns"
dbo,ChartOfAccounts,,,IsActive,,,,,,,,,,,,,,,IX_ChartOfAccounts_IsActive,IsActive ASC,NONCLUSTERED,No,"NOT NULL constraint inferred from index usage","Primary indexed column"
dbo,ChartOfAccounts,,,AccountNumber,,,,,,,,,,,,,,,IX_ChartOfAccounts_IsActive,IsActive ASC,NONCLUSTERED,No,,"Included column in index"
dbo,ChartOfAccounts,,,AccountShortName,,,,,,,,,,,,,,,IX_ChartOfAccounts_IsActive,IsActive ASC,NONCLUSTERED,No,,"Included column in index"
dbo,ChartOfAccounts,,,ParentAccountId,,,,,,,,,,,,,,,IX_ChartOfAccounts_ParentAccountId,ParentAccountId ASC,NONCLUSTERED,No,"Nullable - WHERE clause filters NULL values","Filtered index with WHERE ParentAccountId IS NOT NULL"
dbo,ChartOfAccounts,,,CustomerId,,,,,,,,,,,,,,,IX_ChartOfAccounts_Search,"CustomerId ASC, IsActive ASC",NONCLUSTERED,No,,"Multi-column index with included columns"
dbo,ChartOfAccounts,,,IsActive,,,,,,,,,,,,,,,IX_ChartOfAccounts_Search,"CustomerId ASC, IsActive ASC",NONCLUSTERED,No,,"Multi-column index with included columns"
dbo,ChartOfAccounts,,,AccountNumber,,,,,,,,,,,,,,,IX_ChartOfAccounts_Search,"CustomerId ASC, IsActive ASC",NONCLUSTERED,No,,"Included column in index"
dbo,ChartOfAccounts,,,AccountShortName,,,,,,,,,,,,,,,IX_ChartOfAccounts_Search,"CustomerId ASC, IsActive ASC",NONCLUSTERED,No,,"Included column in index"
dbo,ChartOfAccounts,,,Description,,,,,,,,,,,,,,,IX_ChartOfAccounts_Search,"CustomerId ASC, IsActive ASC",NONCLUSTERED,No,,"Included column in index"
dbo,Customer,,,CustomerNumber,VARCHAR,,,,,,,,,,,,,,,IX_Customer_CustomerNumber,CustomerNumber ASC,NONCLUSTERED,No,"ANSI_PADDING ON indicates string data type","String-based customer number"
dbo,Customer,,,IsZenithCustomer,BIT,,,,,UK,IX_Customer_OneZenithCustomer,IsZenithCustomer,"UNIQUE constraint with filtered condition",,,,,,,IX_Customer_OneZenithCustomer,IsZenithCustomer ASC,NONCLUSTERED,Yes,"Unique constraint with business rule: only one active Zenith customer allowed","Filtered unique index with WHERE IsZenithCustomer=1 AND IsActive=1"
dbo,Customer,,,IsActive,BIT,,,,,,,,,,,,,,,IX_Customer_OneZenithCustomer,IsZenithCustomer ASC,NONCLUSTERED,Yes,"Referenced in filter condition","Used in WHERE clause of filtered index"
dbo,DepositDistribution,,,ChartOfAccountsId,INT,,,,,FK,,ChartOfAccountsId,"Foreign key relationship to ChartOfAccounts table",DepositDistribution,ChartOfAccountsId,ChartOfAccounts,Id,,,IX_DepositDistribution_ChartOfAccounts,ChartOfAccountsId ASC,NONCLUSTERED,No,"Referential integrity to ChartOfAccounts","Foreign key index for performance"
dbo,DepositDistribution,,,AppliedCommissionRuleId,INT,,,,,FK,,AppliedCommissionRuleId,"Foreign key relationship to CommissionRule table",DepositDistribution,AppliedCommissionRuleId,CommissionRule,Id,,,IX_DepositDistribution_CommissionRule,AppliedCommissionRuleId ASC,NONCLUSTERED,No,"Referential integrity to CommissionRule","Foreign key index for performance"
dbo,DepositDistribution,,,CustomerId,INT,,,,,FK,,CustomerId,"Foreign key relationship to Customer table",DepositDistribution,CustomerId,Customer,Id,,,IX_DepositDistribution_Customer_Entity,"CustomerId ASC, EntityId ASC",NONCLUSTERED,No,"Referential integrity to Customer","Composite index for customer-entity relationships"
dbo,DepositDistribution,,,EntityId,INT,,,,,FK,,EntityId,"Foreign key relationship to Entity table",DepositDistribution,EntityId,Entity,Id,,,IX_DepositDistribution_Customer_Entity,"CustomerId ASC, EntityId ASC",NONCLUSTERED,No,"Referential integrity to Entity","Composite index for customer-entity relationships"
dbo,DepositDistribution,,,DepositId,INT,,,,,FK,,DepositId,"Foreign key relationship to DepositHeader table",DepositDistribution,DepositId,DepositHeader,Id,,,IX_DepositDistribution_Deposit,"DepositId ASC, LineNumber ASC",NONCLUSTERED,No,"Referential integrity to DepositHeader","Composite index with line number for deposit details"
dbo,DepositDistribution,,,LineNumber,INT,,,,,,,,,,,,,,,IX_DepositDistribution_Deposit,"DepositId ASC, LineNumber ASC",NONCLUSTERED,No,"Sequential line numbering within deposit","Part of composite index for deposit line items"
dbo,DepositDistribution,,,GlAccountNumber,VARCHAR,,,,,,,,,,,,,,,IX_DepositDistribution_GlAccount,GlAccountNumber ASC,NONCLUSTERED,No,"ANSI_PADDING ON indicates string data type","General Ledger account number reference"
dbo,DepositHeader,,,BankAccountId,INT,,,,,FK,,BankAccountId,"Foreign key relationship to BankAccount table",DepositHeader,BankAccountId,BankAccount,Id,,,IX_DepositHeader_BankAccount,BankAccountId ASC,NONCLUSTERED,No,"Referential integrity to BankAccount","Foreign key index for performance"
dbo,DepositHeader,,,CommissionProcessed,BIT,,,,,,,,,,,,,,,IX_DepositHeader_CommissionProcessed,CommissionProcessed ASC,NONCLUSTERED,No,"Boolean flag for commission processing status","Index for filtering processed/unprocessed deposits"
dbo,DepositHeader,,,CustomerId,INT,,,,,FK,,CustomerId,"Foreign key relationship to Customer table",DepositHeader,CustomerId,Customer,Id,,,IX_DepositHeader_Customer_Entity,"CustomerId ASC, EntityId ASC",NONCLUSTERED,No,"Referential integrity to Customer","Composite index for customer-entity relationships"
dbo,DepositHeader,,,EntityId,INT,,,,,FK,,EntityId,"Foreign key relationship to Entity table",DepositHeader,EntityId,Entity,Id,,,IX_DepositHeader_Customer_Entity,"CustomerId ASC, EntityId ASC",NONCLUSTERED,No,"Referential integrity to Entity","Composite index for customer-entity relationships"
dbo,DepositHeader,,,DepositDate,DATE,,,,,,,,,,,,,,,IX_DepositHeader_DepositDate,DepositDate ASC,NONCLUSTERED,No,"Date-based filtering and sorting","Index for date range queries"
dbo,DepositHeader,,,PayorName,VARCHAR,,,,,,,,,,,,,,,IX_DepositHeader_PayorName,PayorName ASC,NONCLUSTERED,No,"ANSI_PADDING ON indicates string data type","Index for payor name searches"
dbo,DepositHeader,,,DepositStatusId,INT,,,,,FK,,DepositStatusId,"Foreign key relationship to DepositStatus table",DepositHeader,DepositStatusId,DepositStatus,Id,,,IX_DepositHeader_Status,DepositStatusId ASC,NONCLUSTERED,No,"Referential integrity to DepositStatus","Status-based filtering index"
dbo,DocumentProcessingQueue,,,CreatedDate,DATETIME,,,,,,,,,,,,,,,IX_DocumentProcessingQueue_CreatedDate,CreatedDate DESC,NONCLUSTERED,No,"Temporal ordering for queue processing","Descending index for most recent first processing"
