Schema Name,Table Name,Table Description,Row Count,Column Name,Data Type,Nullability,Default Value,Column Comments,Constraint Type,Constraint Name,Constraint Columns,Constraint Definition,FK Source Table,FK Source Column(s),FK Target Table,FK Target Column(s),FK Update Rule,FK Delete Rule,Index Name,Index Columns,Index Type,Is Unique Index,Data Integrity Rules,Additional Notes
dbo,DocumentProcessingQueue,,,,,,,,,,,,,,,,,,IX_DocumentProcessingQueue_CurrentStage,ProcessingStatusId ASC,NONCLUSTERED,No,Index enforces ordering on ProcessingStatusId,Index created with PAD_INDEX=OFF STATISTICS_NORECOMPUTE=OFF SORT_IN_TEMPDB=OFF
dbo,DocumentProcessingQueue,,,ProcessingStatusId,,,,,,,,,,,,,,,IX_DocumentProcessingQueue_CurrentStage,ProcessingStatusId ASC,NONCLUSTERED,No,Column used for processing status indexing,Part of nonclustered index for performance optimization
dbo,DocumentProcessingQueue,,,,,,,,,,,,,,,,,,IX_DocumentProcessingQueue_DocumentId,DocumentId ASC,NONCLUSTERED,No,Index enforces ordering on DocumentId,Index created with standard options for document lookup
dbo,DocumentProcessingQueue,,,DocumentId,,,,,,,,,,,,,,,IX_DocumentProcessingQueue_DocumentId,DocumentId ASC,NONCLUSTERED,No,Column used for document identification,Part of nonclustered index for document retrieval
dbo,DocumentProcessingQueue,,,,,,,,,,,,,,,,,,IX_DocumentProcessingQueue_EmailMessageId,EmailMessageId ASC,NONCLUSTERED,No,Index enforces ordering on EmailMessageId,Index created for email message association
dbo,DocumentProcessingQueue,,,EmailMessageId,,,,,,,,,,,,,,,IX_DocumentProcessingQueue_EmailMessageId,EmailMessageId ASC,NONCLUSTERED,No,Column used for email message linking,Part of nonclustered index for email processing
dbo,DocumentProcessingQueue,,,,,,,,,,,,,,,,,,IX_DocumentProcessingQueue_SourceType,SourceTypeId ASC,NONCLUSTERED,No,Index enforces ordering on SourceTypeId,Index created for source type categorization
dbo,DocumentProcessingQueue,,,SourceTypeId,,,,,,,,,,,,,,,IX_DocumentProcessingQueue_SourceType,SourceTypeId ASC,NONCLUSTERED,No,Column used for source type classification,Part of nonclustered index for source filtering
dbo,DraftSequence,,,,,,,,,,,,,,,,,,IX_DraftSequence_EntityId_FiscalYear,"EntityId ASC, FiscalYear ASC",NONCLUSTERED,No,Composite index enforces ordering on EntityId and FiscalYear,Multi-column index for draft sequence management
dbo,DraftSequence,,,EntityId,,,,,,,,,,,,,,,IX_DraftSequence_EntityId_FiscalYear,"EntityId ASC, FiscalYear ASC",NONCLUSTERED,No,Column used for entity identification in draft sequences,First column in composite index
dbo,DraftSequence,,,FiscalYear,,,,,,,,,,,,,,,IX_DraftSequence_EntityId_FiscalYear,"EntityId ASC, FiscalYear ASC",NONCLUSTERED,No,Column used for fiscal year in draft sequences,Second column in composite index
dbo,Entity,,,,,,,,,,,,,,,,,,IX_Entity_EntityNumber,EntityNumber ASC,NONCLUSTERED,No,Index enforces ordering on EntityNumber,Index created with ANSI_PADDING ON
dbo,Entity,,,EntityNumber,VARCHAR,,,,,,,,,,,,,,,IX_Entity_EntityNumber,EntityNumber ASC,NONCLUSTERED,No,Column used for entity number identification,String-based entity identifier with padding considerations
dbo,FieldChangeHistory,,,,,,,,,,,,,,,,,,IX_FieldChangeHistory_ChangedBy,ChangedBy ASC,NONCLUSTERED,No,Index enforces ordering on ChangedBy,Index for tracking change authors
dbo,FieldChangeHistory,,,ChangedBy,,,,,,,,,,,,,,,IX_FieldChangeHistory_ChangedBy,ChangedBy ASC,NONCLUSTERED,No,Column used for tracking who made changes,Part of audit trail functionality
dbo,FieldChangeHistory,,,,,,,,,,,,,,,,,,IX_FieldChangeHistory_Field,"FieldName ASC, ChangedAt ASC",NONCLUSTERED,No,Composite index enforces ordering on FieldName and ChangedAt,Index created with ANSI_PADDING ON
dbo,FieldChangeHistory,,,FieldName,VARCHAR,,,,,,,,,,,,,,,IX_FieldChangeHistory_Field,"FieldName ASC, ChangedAt ASC",NONCLUSTERED,No,Column used for field name identification,String-based field identifier in change tracking
dbo,FieldChangeHistory,,,ChangedAt,DATETIME,,,,,,,,,,,,,,,IX_FieldChangeHistory_Field,"FieldName ASC, ChangedAt ASC",NONCLUSTERED,No,Column used for change timestamp,Temporal component of field change tracking
